match_no,date_x,stage_x,venue_x,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,match_id,date_y,venue_y,team1,team2,stage_y,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,runs,wickets
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.5,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,11,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.6,Devon Conway,Akash Madhwal,1,0,,,,,caught,Devon Conway,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,12,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.1,Ruturaj Gaikwad,Hardik Pandya,3,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,15,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.2,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,15,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.3,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,15,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.4,Ajinkya Rahane,Hardik Pandya,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,16,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.5,Ruturaj Gaikwad,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,16,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,2.6,Ruturaj Gaikwad,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,16,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.1,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,16,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.2,Ajinkya Rahane,Tim David,2,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,18,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.3,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,18,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.4,Ajinkya Rahane,Tim David,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,19,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.5,Ruturaj Gaikwad,Tim David,4,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,23,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,3.6,Ruturaj Gaikwad,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,23,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.1,Ajinkya Rahane,Piyush Chawla,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.2,Ruturaj Gaikwad,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,1
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.3,Ruturaj Gaikwad,Piyush Chawla,0,0,,,,,bowled,Ruturaj Gaikwad,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.4,Shivam Dube,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.5,Shivam Dube,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,4.6,Shivam Dube,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.1,Ajinkya Rahane,Jasprit Bumrah,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,24,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.2,Ajinkya Rahane,Jasprit Bumrah,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,25,2
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.3,Shivam Dube,Jasprit Bumrah,0,0,,,,,caught and bowled,Shivam Dube,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,25,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.4,Ravindra Jadeja,Jasprit Bumrah,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,25,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.5,Ravindra Jadeja,Jasprit Bumrah,4,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,29,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,5.6,Ravindra Jadeja,Jasprit Bumrah,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,30,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.1,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,30,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.2,Ravindra Jadeja,Akash Madhwal,4,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,34,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.3,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,34,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.4,Ravindra Jadeja,Akash Madhwal,2,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,36,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.5,Ravindra Jadeja,Akash Madhwal,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,37,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,6.6,Ajinkya Rahane,Akash Madhwal,2,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,39,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.1,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,39,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.2,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,39,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.3,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,39,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.4,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,39,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.5,Ravindra Jadeja,Tim David,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,40,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,7.6,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,40,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.1,Ravindra Jadeja,Akash Madhwal,0,2,2,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,42,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.1,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,42,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.2,Ravindra Jadeja,Akash Madhwal,4,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.3,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.4,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.5,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,8.6,Ravindra Jadeja,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.1,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,46,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.2,Ajinkya Rahane,Piyush Chawla,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,47,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.3,Ravindra Jadeja,Piyush Chawla,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,48,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.4,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,48,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.5,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,48,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,9.6,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,48,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.1,Ravindra Jadeja,Tim David,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,49,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.2,Ajinkya Rahane,Tim David,0,1,1,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,50,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.2,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,50,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.3,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,50,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.4,Ajinkya Rahane,Tim David,6,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,56,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.5,Ajinkya Rahane,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,56,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,10.6,Ajinkya Rahane,Tim David,6,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,62,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.1,Ravindra Jadeja,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,62,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.2,Ravindra Jadeja,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,62,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.3,Ravindra Jadeja,Hardik Pandya,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,63,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.4,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,63,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.5,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,63,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,11.6,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,63,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,12.1,Ravindra Jadeja,Tim David,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,64,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,12.2,Ajinkya Rahane,Tim David,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,65,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,12.3,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,65,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,12.4,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,65,3
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,12.5,Ravindra Jadeja,Tim David,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,65,3
